www.usac.edu.gt,.,1,8,192.115.106.35#53(192.115.106.35),SECURE
www.usac.edu.gt,gt.,1,8,192.5.5.241#53(f.root-servers.net),INSECURE
www.usac.edu.gt,usac.edu.gt.,0,-1,200.0.68.10#53(a.lactld.org),INSECURE
www.usac.edu.gt,usac.edu.gt.,0,-1,168.234.75.252#53(ns1.usac.edu.gt),INSECURE
,,,,,
www.asisehace.gt,.,1,8,192.115.106.35#53(192.115.106.35),SECURE
www.asisehace.gt,gt.,1,8,192.33.4.12#53(c.root-servers.net),INSECURE
www.asisehace.gt,asisehace.gt.,0,-1,200.33.111.1#53(ns3.nic.mx),INSECURE
www.asisehace.gt,asisehace.gt.,0,-1,173.201.72.15#53(ns30.domaincontrol.com),INSECURE
,,,,,
www.publinews.gt,.,1,8,192.115.106.35#53(192.115.106.35),SECURE
www.publinews.gt,gt.,1,8,193.0.14.129#53(k.root-servers.net),INSECURE
www.publinews.gt,publinews.gt.,0,-1,200.0.68.10#53(a.lactld.org),INSECURE
www.publinews.gt,www.publinews.gt.,0,-1,23.92.29.43#53(ns1.regzone.de),INSECURE
,,,,,
registry.gy,.,1,8,192.115.106.35#53(192.115.106.35),SECURE
registry.gy,gy.,1,8,192.33.4.12#53(c.root-servers.net),SECURE
registry.gy,J38RQ5VMFTU6LDBBSD6017OVCJ9L00R3.gy.,1,8,185.17.236.93#53(ns.cocca.fr),SECURE
registry.gy,registry.gy.,0,-1,204.13.250.21#53(ns2.p21.dynect.net),INSECURE
,,,,,
www.dpi.gov.gy,.,1,8,192.115.106.35#53(192.115.106.35),SECURE
www.dpi.gov.gy,gy.,1,8,199.9.14.201#53(b.root-servers.net),SECURE
www.dpi.gov.gy,gov.gy.,1,8,192.5.4.1#53(sns-pb.isc.org),SECURE
www.dpi.gov.gy,dpi.gov.gy.,0,-1,161.47.124.191#53(ns2.government.gy),INSECURE
,,,,,
www.uog.edu.gy,.,1,8,192.115.106.35#53(192.115.106.35),SECURE
www.uog.edu.gy,gy.,1,8,192.58.128.30#53(j.root-servers.net),SECURE
www.uog.edu.gy,edu.gy.,1,8,204.61.216.34#53(gy-ns.anycast.pch.net),SECURE
www.uog.edu.gy,uog.edu.gy.,0,-1,204.13.250.21#53(ns2.p21.dynect.net),INSECURE
,,,,,
nic.ht,.,1,8,192.115.106.35#53(192.115.106.35),SECURE
nic.ht,ht.,1,8,199.7.91.13#53(d.root-servers.net),INSECURE
nic.ht,nic.ht.,0,-1,192.134.0.49#53(ns3.nic.fr),INSECURE
nic.ht,nic.ht.,0,-1,162.210.99.100#53(dns1.frddh.org.ht),INSECURE
,,,,,
www.rtnh.ht,.,1,8,192.115.106.35#53(192.115.106.35),SECURE
www.rtnh.ht,ht.,1,8,192.33.4.12#53(c.root-servers.net),INSECURE
www.rtnh.ht,rtnh.ht.,0,-1,185.17.236.93#53(ns.cocca.fr),INSECURE
www.rtnh.ht,rtnh.ht.,0,-1,35.182.190.110#53(ns2.hostingpanel1.com),INSECURE
,,,,,
natcom.com.ht,.,1,8,192.115.106.35#53(192.115.106.35),SECURE
natcom.com.ht,ht.,1,8,192.5.5.241#53(f.root-servers.net),INSECURE
natcom.com.ht,natcom.com.ht.,0,-1,185.17.236.93#53(ns.cocca.fr),INSECURE
natcom.com.ht,natcom.com.ht.,0,-1,186.1.192.2#53(dns2.natcom.com.ht),INSECURE
,,,,,
www.elheraldo.hn,.,1,8,192.115.106.35#53(192.115.106.35),SECURE
www.elheraldo.hn,hn.,1,8,202.12.27.33#53(m.root-servers.net),SECURE
www.elheraldo.hn,6CTLF0QOIUEU74A647DNTU9NSHRNJFG4.hn.,1,8,200.33.111.1#53(nicmx-anycast.rds.org.hn),INSECURE
www.elheraldo.hn,elheraldo.hn.,0,-1,205.251.198.121#53(ns-1657.awsdns-15.co.uk),INSECURE
,,,,,
www.laprensa.hn,.,1,8,192.115.106.35#53(192.115.106.35),SECURE
www.laprensa.hn,hn.,1,8,198.97.190.53#53(h.root-servers.net),SECURE
www.laprensa.hn,BOLSCEBNN5TO3JSK8BT1PDCM56LSKMNU.hn.,1,8,200.33.111.1#53(nicmx-anycast.rds.org.hn),INSECURE
www.laprensa.hn,laprensa.hn.,0,-1,205.251.196.55#53(ns-1079.awsdns-06.org),INSECURE
,,,,,
www.tiempo.hn,.,1,8,192.115.106.35#53(192.115.106.35),SECURE
www.tiempo.hn,hn.,1,8,192.36.148.17#53(i.root-servers.net),SECURE
www.tiempo.hn,QFH1D7A0SANLBN0DD6QHJ9CBPSTLUSB9.hn.,1,8,200.33.111.1#53(nicmx-anycast.rds.org.hn),SECURE
www.tiempo.hn,tiempo.hn.,1,8,190.92.0.5#53(ns1.cablecolor.hn),SECURE
,,,,,
www.price.com.hk,.,1,8,192.115.106.35#53(192.115.106.35),SECURE
www.price.com.hk,hk.,1,8,192.58.128.30#53(j.root-servers.net),SECURE
www.price.com.hk,de64ekrvvcejhnvrdeh28pige552opsb.com.hk.,1,8,202.45.188.39#53(x.hkirc.net.hk),SECURE
www.price.com.hk,www.price.com.hk.,0,-1,173.245.59.177#53(isaac.ns.cloudflare.com),INSECURE
,,,,,
www.etnet.com.hk,.,1,8,192.115.106.35#53(192.115.106.35),SECURE
www.etnet.com.hk,hk.,1,8,198.97.190.53#53(h.root-servers.net),SECURE
www.etnet.com.hk,cudbhk0gisb2pujtvrtcp4n0vc5e1ola.com.hk.,1,8,194.146.106.70#53(z.hkirc.net.hk),SECURE
